Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
EVEN,1500,0.01,2000000,1869546,3.778
ODD,1500,0.01,2000000,1816778,4.019333333333333
EVEN,1500,0.001,2000000,1808873,3.8273333333333333
COMPREHENSIVE,1500,0.001,3000000,2802010,3.3646666666666665
COMPREHENSIVE,1500,0.01,2000000,1827501,3.802
EVEN,1500,0.05,2000000,1839553,4.192666666666667
COMPREHENSIVE,1500,1.0E-4,2000000,1782150,4.1433333333333335
COMPREHENSIVE,1500,0.05,3000000,2708697,3.598
EVEN,1500,0.01,2000000,1831992,4.197333333333333
ODD,1500,0.01,3000000,2816619,4.0713333333333335
EVEN,1500,0.001,3000000,2706048,3.7933333333333334
COMPREHENSIVE,1500,0.001,3000000,2815482,3.926
EVEN,1500,0.05,3000000,2735200,3.796666666666667
COMPREHENSIVE,1500,0.01,3000000,2849909,4.083333333333333
COMPREHENSIVE,1500,0.05,3000000,2736455,3.766
COMPREHENSIVE,1500,1.0E-4,3000000,2779941,4.19
EVEN,1500,0.01,3000000,2724371,3.7853333333333334
ODD,1500,0.01,3000000,2804258,3.752666666666667
EVEN,1500,0.001,3000000,2743614,3.7946666666666666
EVEN,1500,0.05,3000000,2693005,3.6393333333333335
COMPREHENSIVE,1500,0.01,3000000,2751152,3.458666666666667
COMPREHENSIVE,1500,1.0E-4,3000000,2861130,3.284
COMPREHENSIVE,1500,0.001,3000000,2710756,4.708666666666667
COMPREHENSIVE,1500,0.05,3000000,2830565,4.1546666666666665
EVEN,1500,0.01,3000000,2787829,3.9166666666666665
EVEN,1500,0.001,3000000,2708633,3.775333333333333
ODD,1500,0.01,3000000,2748082,4.192
EVEN,1500,0.05,3000000,2710005,3.7853333333333334
COMPREHENSIVE,1500,1.0E-4,3000000,2839579,3.304
COMPREHENSIVE,1500,0.05,3000000,2682035,3.154
COMPREHENSIVE,1500,0.01,3000000,2740958,4.210666666666667
COMPREHENSIVE,1500,0.001,3000000,2093088,3.866
